case_id,family,refinement_level_id,n_electrodes,conductivity_pattern,contact_impedance_exact,drive_label,solver,formulation,truth_relative_l2,truth_max_abs,exact_reduced_scaled_backward_residual,voltage_gauge_relative_residual,reduced_condition_number_2_estimate,classic_robin_relative_l2
X08,range,Q0,16,uniform,32,skip-4,EIDORS,classic,3.7067150109196482e-16,1.0680976780611819e-13,2.975966140294487e-17,9.163439106403316e-17,16.64173432250919,3.127773939970498e-16
X08,range,Q0,16,uniform,32,skip-4,EIDORS,robin_transconductance,3.873455984613946e-16,1.352314772365222e-13,3.882552441840501e-17,2.4041919238462847e-16,16.64173432250919,3.127773939970498e-16
X09,range,Q2,16,uniform,1,adjacent,PyEIDORS/DOLFINx,classic,8.466174936914088e-16,1.0945554741744207e-14,3.9618905744759646e-17,4.8874724536582816e-17,41.57590588969947,7.96411228819752e-16
X09,range,Q2,16,uniform,1,adjacent,PyEIDORS/DOLFINx,robin_transconductance,9.291704625403743e-16,7.392841062943706e-15,3.556694326618169e-17,1.8697747902867857e-16,41.57590588969947,7.96411228819752e-16
X09,range,Q2,16,uniform,1,adjacent,NGSolve,classic,6.33925644743112e-15,4.760721711544352e-14,4.1859796603264097e-16,5.735823479412298e-17,41.57590588969947,1.0896178511816442e-15
X09,range,Q2,16,uniform,1,adjacent,NGSolve,robin_transconductance,5.7078204857981376e-15,5.137092709788366e-14,4.0451172599349825e-16,1.6958408074651477e-16,41.57590588969947,1.0896178511816442e-15
X09,range,Q2,16,uniform,1,adjacent,EIDORS,classic,1.6922314332652679e-15,9.791997059185942e-15,7.425088687446447e-17,1.5272618057928447e-16,41.57590588969947,5.533076472893535e-16
X09,range,Q2,16,uniform,1,adjacent,EIDORS,robin_transconductance,1.8542850947505118e-15,1.6274625259944956e-14,7.590613583570798e-17,2.484640718248201e-16,41.57590588969947,5.533076472893535e-16
X10,range,Q2,16,uniform,1,skip-4,PyEIDORS/DOLFINx,classic,1.4613360739270887e-15,1.889369641283356e-14,5.4076117465309045e-17,1.0440633390578902e-16,41.57590588969947,1.1845697109281137e-15
X10,range,Q2,16,uniform,1,skip-4,PyEIDORS/DOLFINx,robin_transconductance,1.9518331148987665e-15,1.8852481216972624e-14,7.476928348650277e-17,2.1810569575796605e-16,41.57590588969947,1.1845697109281137e-15
X10,range,Q2,16,uniform,1,skip-4,NGSolve,classic,1.1143406001922742e-14,1.1477575054458616e-13,4.450281817453954e-16,1.0209460954654746e-16,41.57590588969947,2.378381748838634e-15
X10,range,Q2,16,uniform,1,skip-4,NGSolve,robin_transconductance,9.158691244931336e-15,1.058939663475849e-13,3.9378101176721303e-16,1.8746039196742893e-16,41.57590588969947,2.378381748838634e-15
X10,range,Q2,16,uniform,1,skip-4,EIDORS,classic,4.053884797844084e-15,3.939837736881928e-14,1.580490178374965e-16,2.0432458906243982e-16,41.57590588969947,7.866616647956312e-16
X10,range,Q2,16,uniform,1,skip-4,EIDORS,robin_transconductance,4.1055581032792766e-15,3.661604961097513e-14,1.4572014347940383e-16,1.51485319975876e-16,41.57590588969947,7.866616647956312e-16
X11,range,Q2,16,uniform,1,adjacent,PyEIDORS/DOLFINx,classic,2.725813750184471e-16,2.501572172319807e-15,2.5947334283903702e-17,3.538883043221747e-17,17.178920970323716,3.3798798996685997e-16
X11,range,Q2,16,uniform,1,adjacent,PyEIDORS/DOLFINx,robin_transconductance,2.1154841011428442e-16,2.5356409231177287e-15,2.0314601651346468e-17,1.6725704096026674e-16,17.178920970323716,3.3798798996685997e-16
X11,range,Q2,16,uniform,1,adjacent,NGSolve,classic,2.9577159661090787e-15,2.0984777037678882e-14,2.581673250089815e-16,3.8894659099041986e-17,17.178920970323716,4.3942670226529093e-16
X11,range,Q2,16,uniform,1,adjacent,NGSolve,robin_transconductance,2.959619332949823e-15,2.0096598617978756e-14,2.4596071024205914e-16,1.8427910593182897e-16,17.178920970323716,4.3942670226529093e-16
X11,range,Q2,16,uniform,1,adjacent,EIDORS,classic,2.8421273338780077e-16,3.521365015117775e-15,2.18837577145217e-17,8.654367942547974e-17,17.178920970323716,2.3426300304477688e-16
X11,range,Q2,16,uniform,1,adjacent,EIDORS,robin_transconductance,3.575065603996641e-16,4.109387063376502e-15,3.7747872108516366e-17,1.9594319185194665e-16,17.178920970323716,2.3426300304477688e-16
X12,range,Q2,16,uniform,1,skip-4,PyEIDORS/DOLFINx,classic,3.4957790012742208e-16,4.454799255008454e-15,2.4491721242076887e-17,9.95996908635599e-17,17.178920970323716,4.559536663619152e-16
X12,range,Q2,16,uniform,1,skip-4,PyEIDORS/DOLFINx,robin_transconductance,2.7333096198881017e-16,3.512921809428649e-15,2.410651784791681e-17,1.9547414935518169e-16,17.178920970323716,4.559536663619152e-16
