case_id,solver,formulation,cold_median_seconds,setup_median_seconds,warm_reuse_median_seconds,cold_over_warm_reuse_speedup
X25,PyEIDORS/DOLFINx,classic,0.0007462175635737367,0.0007253795010910835,9.13362055143807e-06,81.70008370407353
X25,PyEIDORS/DOLFINx,robin_transconductance,0.00015500106201216113,0.0001283638739550952,1.1806499969679862e-05,13.128451480982305
X25,NGSolve,classic,0.0007990733829501551,0.0007772239368932787,1.4298251699074171e-05,55.886090115611545
X25,NGSolve,robin_transconductance,0.0001288985640712781,0.00011530369010870345,9.915689588524401e-06,12.999455350080202
X25,EIDORS,classic,0.0003066,0.00020433125,2.4243750000000003e-05,12.646558391337972
X25,EIDORS,robin_transconductance,0.00031071250000000005,0.00030042500000000005,3.2625e-06,95.23754789272031
X26,PyEIDORS/DOLFINx,classic,0.0007089990031090565,0.0006882194993522717,1.1219994121347554e-05,63.190675096708844
X26,PyEIDORS/DOLFINx,robin_transconductance,0.00016412162221968174,0.00013143137402948923,1.404668546456378e-05,11.684010625404756
X26,NGSolve,classic,0.000601147503402899,0.0005837805019837106,8.914064892451279e-06,67.43808920574163
X26,NGSolve,robin_transconductance,9.809405673877336e-05,8.791212349024136e-05,7.645812729606405e-06,12.829774964135579
X26,EIDORS,classic,0.00038235625,0.00026755625,5.646250000000002e-05,6.771861855213635
X26,EIDORS,robin_transconductance,0.00040846875,0.0003967625,5.6562499999999986e-06,72.21546961325969
X27,PyEIDORS/DOLFINx,classic,0.0007788940638420172,0.0007572368103865301,1.2168809917056933e-05,64.00741478838017
X27,PyEIDORS/DOLFINx,robin_transconductance,0.00017770155864127446,0.00014139900122245308,1.572243490954861e-05,11.302419737374906
X27,NGSolve,classic,0.0007140870675357291,0.0006916814927535597,8.314875231008045e-06,85.88067141076722
X27,NGSolve,robin_transconductance,0.00010997956269420683,9.88709980447311e-05,7.966442353790626e-06,13.8053547380376
X27,EIDORS,classic,0.00031986250000000003,0.00020980624999999997,3.7693750000000005e-05,8.485823246559443
X27,EIDORS,robin_transconductance,0.00034958125,0.00033915625000000005,4.05e-06,86.31635802469135
X28,PyEIDORS/DOLFINx,classic,0.0006219501865416532,0.0006044595011189813,1.2108874216210097e-05,51.36317178925282
